DataBase Sheet (Manager) : https://docs.google.com/spreadsheets/d/1rqPLIFtqHWfkgOXIt27qm77dhEr7lsQ1gPu2oKqGiow/edit?gid=0#gid=0










Category	CategoryIcon	CategoryImage	ItemName	Price	ItemImage	Description																			
موهيتو وصن شاين	fa-martini-glass-citrus	Images/mojito.png	صن شاين بلو كراسو	L 40 | جامبو 50																					
موهيتو وصن شاين	fa-martini-glass-citrus	Images/mojito.png	صن شاين فراولة	L 40 | جامبو 50																					
موهيتو وصن شاين	fa-martini-glass-citrus	Images/mojito.png	صن شاين شيري كولا	L 40 | جامبو 50																					
موهيتو وصن شاين	fa-martini-glass-citrus	Images/mojito.png	صن شاين ريد بول	L 40 | جامبو 50																					
موهيتو وصن شاين	fa-martini-glass-citrus	Images/mojito.png	ريد بول + بطيخ	L 50 | جامبو 60																					
موهيتو وصن شاين	fa-martini-glass-citrus	Images/mojito.png	صن شاين جوز هند	L 40 | جامبو 50																					
موهيتو وصن شاين	fa-martini-glass-citrus	Images/mojito.png	صن شاين ميكس بيري	L 50 | جامبو 60																					
موهيتو وصن شاين	fa-martini-glass-citrus	Images/mojito.png	بلو ليتشي	L 60 | جامبو 70		باشون فروت + برتقال + مانجو + بلو كرواسو																			
موهيتو وصن شاين	fa-martini-glass-citrus	Images/mojito.png	صن سيت	L 60 | جامبو 70		رمان + برتقال + ليمون																			
موهيتو وصن شاين	fa-martini-glass-citrus	Images/mojito.png	جاميكا	L 60 | جامبو 70		رمان + برتقال + ليمون + أناناس																			
موهيتو وصن شاين	fa-martini-glass-citrus	Images/mojito.png	صن شاين بوبا	L 60 | جامبو 70																					
عالم السموذي	fa-blender	Images/smoothie.png	بلو بيري	50																					
عالم السموذي	fa-blender	Images/smoothie.png	ريد بيري	50																					
عالم السموذي	fa-blender	Images/smoothie.png	راسبيري	50																					
عالم السموذي	fa-blender	Images/smoothie.png	باشون فروت	50																					
عالم السموذي	fa-blender	Images/smoothie.png	كراميل	50																					
عالم السموذي	fa-blender	Images/smoothie.png	شيري كولا	50																					
عالم السموذي	fa-blender	Images/smoothie.png	سموزي مانجو	60																					
عالم السموذي	fa-blender	Images/smoothie.png	سموزي فراولة	50																					
عالم السموذي	fa-blender	Images/smoothie.png	سموزي بطيخ	50																					
عالم السموذي	fa-blender	Images/smoothie.png	سموزي ليمون نعناع	40																					
